X,Y,标注类别名称,预测类别,图像路径
-1.668757,9.148581,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144104_cell_163_RCAN_BIX4-official.png
-4.350179,11.190977,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144104_cell_166_RCAN_BIX4-official.png
-1.8209443,1.4031104,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144104_cell_167_RCAN_BIX4-official.png
-1.0656809,4.3611565,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144104_cell_171_RCAN_BIX4-official.png
-1.2655809,2.7990868,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144348_cell_139_RCAN_BIX4-official.png
-2.292329,2.773832,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144348_cell_141_RCAN_BIX4-official.png
0.25828683,2.036442,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144348_cell_144_RCAN_BIX4-official.png
-3.5486689,5.12866,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144823_cell_161_RCAN_BIX4-official.png
-1.3762951,7.163096,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_145609_cell_146_RCAN_BIX4-official.png
-2.7814708,2.9363115,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_150041_cell_147_RCAN_BIX4-official.png
-0.56507176,5.096158,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_150041_cell_148_RCAN_BIX4-official.png
0.5212528,2.075154,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_64_RCAN_BIX4-official.png
1.8370475,5.1958456,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_68_RCAN_BIX4-official.png
-4.317129,7.798247,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_76_RCAN_BIX4-official.png
2.0093334,3.436506,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_78_RCAN_BIX4-official.png
-3.49768,11.691104,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_81_RCAN_BIX4-official.png
-2.7952926,10.907531,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_82_RCAN_BIX4-official.png
-0.5316589,3.884057,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151149_cell_74_RCAN_BIX4-official.png
-1.4275275,1.9846171,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151149_cell_79_RCAN_BIX4-official.png
-0.50377524,5.6571116,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151149_cell_83_RCAN_BIX4-official.png
1.0979632,4.956534,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_74_RCAN_BIX4-official.png
-1.3338164,3.2879963,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_85_RCAN_BIX4-official.png
-0.8213953,3.9759681,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_86_RCAN_BIX4-official.png
-1.9084793,0.6321824,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_94_RCAN_BIX4-official.png
2.5306041,3.8025396,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_95_RCAN_BIX4-official.png
-0.54579943,5.4569755,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_99_RCAN_BIX4-official.png
-4.793622,3.3288376,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_53_RCAN_BIX4-official.png
-5.4100275,5.995852,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_57_RCAN_BIX4-official.png
-0.16419807,7.411988,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_60_RCAN_BIX4-official.png
0.44619206,2.7517002,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_65_RCAN_BIX4-official.png
-3.7909856,2.2336981,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_67_RCAN_BIX4-official.png
-0.8184676,3.346616,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_68_RCAN_BIX4-official.png
0.3929424,4.1597857,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_73_RCAN_BIX4-official.png
-3.2214456,10.054384,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_74_RCAN_BIX4-official.png
-0.23951115,5.35121,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_78_RCAN_BIX4-official.png
1.304406,4.1070275,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151507_cell_51_RCAN_BIX4-official.png
0.6325193,3.6039093,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151507_cell_53_RCAN_BIX4-official.png
-1.345068,2.1527603,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151942_cell_59_RCAN_BIX4-official.png
-4.55337,5.7246313,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151942_cell_60_RCAN_BIX4-official.png
1.1355666,4.57598,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151942_cell_67_RCAN_BIX4-official.png
-1.696918,7.4688616,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151942_cell_72_RCAN_BIX4-official.png
-1.690723,8.847382,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151942_cell_76_RCAN_BIX4-official.png
-0.8942196,3.3049479,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151942_cell_77_RCAN_BIX4-official.png
-4.9333305,10.59127,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151942_cell_83_RCAN_BIX4-official.png
1.5496737,5.656091,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_155731_cell_63_RCAN_BIX4-official.png
-4.170878,3.6101725,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_155731_cell_64_RCAN_BIX4-official.png
1.2508724,4.573415,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_155731_cell_71_RCAN_BIX4-official.png
1.1580217,4.3123965,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_155731_cell_74_RCAN_BIX4-official.png
2.666586,3.6626813,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_155731_cell_75_RCAN_BIX4-official.png
0.4941262,5.9770627,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_12_RCAN_BIX4-official.png
-4.9134755,7.0199695,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_18_RCAN_BIX4-official.png
-6.0016785,1.1513437,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_22_RCAN_BIX4-official.png
0.37856683,4.7409706,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_24_RCAN_BIX4-official.png
2.4454427,3.7758389,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_30_RCAN_BIX4-official.png
1.1536269,4.0560155,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_32_RCAN_BIX4-official.png
-1.39624,2.0469544,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_38_RCAN_BIX4-official.png
-1.374142,7.356978,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_41_RCAN_BIX4-official.png
-2.470287,12.216299,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_7_RCAN_BIX4-official.png
0.8081923,6.726756,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170110_cell_16_RCAN_BIX4-official.png
-5.562827,3.761126,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170110_cell_22_RCAN_BIX4-official.png
-1.8581198,9.615363,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170110_cell_23_RCAN_BIX4-official.png
-0.027611183,6.861729,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170110_cell_4_RCAN_BIX4-official.png
1.1581557,2.2861028,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170246_cell_67_RCAN_BIX4-official.png
0.680858,5.4083524,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170246_cell_79_RCAN_BIX4-official.png
0.066779464,3.8217978,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170246_cell_88_RCAN_BIX4-official.png
-2.4652402,0.38192838,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170246_cell_90_RCAN_BIX4-official.png
-3.6235466,7.714002,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170344_cell_100_RCAN_BIX4-official.png
-2.1462946,2.1190407,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170344_cell_74_RCAN_BIX4-official.png
-0.5917562,3.2905333,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170344_cell_81_RCAN_BIX4-official.png
-3.3302507,3.4433508,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170344_cell_91_RCAN_BIX4-official.png
-1.264511,10.141664,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170344_cell_93_RCAN_BIX4-official.png
-1.7819877,11.205294,parasitized,parasitized,D:\dataset\sr\val\parasitized\C102P63ThinF_IMG_20150918_161508_cell_193_RCAN_BIX4-official.png
-1.0635928,9.735894,parasitized,parasitized,D:\dataset\sr\val\parasitized\C102P63ThinF_IMG_20150918_162051_cell_145_RCAN_BIX4-official.png
-2.3910358,7.3235645,parasitized,parasitized,D:\dataset\sr\val\parasitized\C102P63ThinF_IMG_20150918_162300_cell_181_RCAN_BIX4-official.png
-2.4025269,5.899583,parasitized,parasitized,D:\dataset\sr\val\parasitized\C102P63ThinF_IMG_20150918_162300_cell_182_RCAN_BIX4-official.png
