X,Y,Z,标注类别名称,预测类别,图像路径
-1.9718626,5.89214,3.5944567,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144104_cell_163_RCAN_BIX4-official.png
-0.23074508,3.4328403,2.157049,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144104_cell_166_RCAN_BIX4-official.png
-1.9559056,6.5185666,10.999184,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144104_cell_167_RCAN_BIX4-official.png
-3.0393708,6.8639297,8.260146,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144104_cell_171_RCAN_BIX4-official.png
-2.5920768,6.8275256,9.758524,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144348_cell_139_RCAN_BIX4-official.png
-2.5520322,5.776228,9.860785,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144348_cell_141_RCAN_BIX4-official.png
-1.8689061,8.107511,10.399178,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144348_cell_144_RCAN_BIX4-official.png
-2.647786,4.2259064,7.6456323,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144823_cell_161_RCAN_BIX4-official.png
-2.6441994,6.2776237,5.4566116,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_145609_cell_146_RCAN_BIX4-official.png
-2.5247657,5.2392488,9.748869,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_150041_cell_147_RCAN_BIX4-official.png
-3.0048735,7.341282,7.3795223,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_150041_cell_148_RCAN_BIX4-official.png
-1.7755581,8.356008,10.355709,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_64_RCAN_BIX4-official.png
-1.9826808,9.470064,7.1652007,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_68_RCAN_BIX4-official.png
-1.8625371,3.3542016,5.099678,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_76_RCAN_BIX4-official.png
-1.7764187,9.7238,8.966083,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_78_RCAN_BIX4-official.png
-0.19917038,4.2355022,1.6570184,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_81_RCAN_BIX4-official.png
-0.9163974,4.9230556,2.221913,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_82_RCAN_BIX4-official.png
-2.8559973,7.478348,8.57794,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151149_cell_74_RCAN_BIX4-official.png
-2.2343473,6.7187715,10.550107,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151149_cell_79_RCAN_BIX4-official.png
-2.9817696,7.3378725,6.7472653,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151149_cell_83_RCAN_BIX4-official.png
-2.460772,8.855243,7.5275025,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_74_RCAN_BIX4-official.png
-2.7738132,6.7908034,9.2782755,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_85_RCAN_BIX4-official.png
-2.9281328,7.1395698,8.536204,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_86_RCAN_BIX4-official.png
-1.4579144,6.6217747,11.624275,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_94_RCAN_BIX4-official.png
-1.5290444,10.21544,8.505827,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_95_RCAN_BIX4-official.png
-2.9627109,7.3613334,6.943182,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_99_RCAN_BIX4-official.png
