X,Y,标注类别名称,预测类别,图像路径
-49.03416,-33.96573,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144104_cell_163_RCAN_BIX4-official.png
-75.87476,-61.56361,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144104_cell_166_RCAN_BIX4-official.png
-86.21578,59.438526,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144104_cell_167_RCAN_BIX4-official.png
-59.68655,31.431204,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144104_cell_171_RCAN_BIX4-official.png
-71.06436,48.912556,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144348_cell_139_RCAN_BIX4-official.png
-81.003654,43.78297,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144348_cell_141_RCAN_BIX4-official.png
-48.382523,63.033405,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144348_cell_144_RCAN_BIX4-official.png
-82.42016,10.282309,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144823_cell_161_RCAN_BIX4-official.png
-46.04753,-2.5987313,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_145609_cell_146_RCAN_BIX4-official.png
-83.559105,37.71728,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_150041_cell_147_RCAN_BIX4-official.png
-49.138653,25.973234,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_150041_cell_148_RCAN_BIX4-official.png
-45.39359,64.47851,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_64_RCAN_BIX4-official.png
-19.26074,17.165632,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_68_RCAN_BIX4-official.png
-86.2926,-20.830784,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_76_RCAN_BIX4-official.png
-34.006435,60.15496,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_78_RCAN_BIX4-official.png
-67.794235,-62.534786,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_81_RCAN_BIX4-official.png
-61.964634,-50.68363,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_82_RCAN_BIX4-official.png
