X,Y,Z,标注类别名称,预测类别,图像路径
-8.152655,-9.330756,6.292431,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144104_cell_163_RCAN_BIX4-official.png
-18.119513,-13.143065,-3.0591152,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144104_cell_166_RCAN_BIX4-official.png
-17.757225,13.247742,4.296731,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144104_cell_167_RCAN_BIX4-official.png
-6.6622763,8.623894,7.5445595,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144104_cell_171_RCAN_BIX4-official.png
-12.168535,13.1433735,5.9492474,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144348_cell_139_RCAN_BIX4-official.png
-12.025977,12.858844,2.972919,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144348_cell_141_RCAN_BIX4-official.png
-18.803783,10.50698,7.81695,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144348_cell_144_RCAN_BIX4-official.png
-8.350475,4.0239377,-1.3476554,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144823_cell_161_RCAN_BIX4-official.png
-7.0845623,-2.5359218,7.152864,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_145609_cell_146_RCAN_BIX4-official.png
-10.395371,12.779284,0.6847385,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_150041_cell_147_RCAN_BIX4-official.png
-6.503444,5.290803,9.1009655,parasitized,parasitized,D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_150041_cell_148_RCAN_BIX4-official.png
-19.758951,9.393738,8.242873,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_64_RCAN_BIX4-official.png
-16.837364,0.7724979,13.156321,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_68_RCAN_BIX4-official.png
-7.9021125,-5.15348,-4.956464,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_76_RCAN_BIX4-official.png
-19.068861,6.332456,11.319791,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_78_RCAN_BIX4-official.png
-18.19242,-13.681023,0.0882681,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_81_RCAN_BIX4-official.png
-13.502154,-13.453529,2.011396,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_82_RCAN_BIX4-official.png
-9.789139,9.924614,10.306975,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151149_cell_74_RCAN_BIX4-official.png
-16.331509,14.276987,5.6774406,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151149_cell_79_RCAN_BIX4-official.png
-7.553221,2.476861,8.799306,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151149_cell_83_RCAN_BIX4-official.png
-13.562197,3.6077254,13.646282,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_74_RCAN_BIX4-official.png
-10.485591,11.261271,5.1665893,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_85_RCAN_BIX4-official.png
-8.003614,10.601049,9.98687,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_86_RCAN_BIX4-official.png
-20.638168,10.984627,4.640224,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_94_RCAN_BIX4-official.png
-20.914877,3.5219913,11.310527,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_95_RCAN_BIX4-official.png
-6.8940897,3.7752974,9.111989,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_99_RCAN_BIX4-official.png
-13.6376705,7.999333,-5.7114477,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_53_RCAN_BIX4-official.png
-10.947326,0.5710943,-7.6629176,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_57_RCAN_BIX4-official.png
-9.51637,-3.2000272,9.921444,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_60_RCAN_BIX4-official.png
-16.713602,9.309212,9.988368,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_65_RCAN_BIX4-official.png
-14.999449,11.853872,-3.5429513,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_67_RCAN_BIX4-official.png
-11.24234,11.80728,8.755026,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_68_RCAN_BIX4-official.png
-12.678156,7.683614,11.410608,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_73_RCAN_BIX4-official.png
-11.660887,-12.979096,0.3014151,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_74_RCAN_BIX4-official.png
-8.604068,4.1120267,9.945809,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_78_RCAN_BIX4-official.png
-16.647526,7.100732,12.906788,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151507_cell_51_RCAN_BIX4-official.png
-14.8595085,8.262719,11.155675,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151507_cell_53_RCAN_BIX4-official.png
-15.421391,14.512058,6.3328805,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151942_cell_59_RCAN_BIX4-official.png
-9.249505,1.9568236,-6.135902,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151942_cell_60_RCAN_BIX4-official.png
-14.721959,6.2614822,14.313766,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151942_cell_67_RCAN_BIX4-official.png
-6.411376,-3.7985833,5.3415947,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151942_cell_72_RCAN_BIX4-official.png
-6.9014444,-8.120535,6.1370645,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151942_cell_76_RCAN_BIX4-official.png
-11.039958,11.130263,7.4195647,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151942_cell_77_RCAN_BIX4-official.png
-16.73743,-11.558741,-4.86525,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151942_cell_83_RCAN_BIX4-official.png
-15.53468,0.4379715,12.76586,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_155731_cell_63_RCAN_BIX4-official.png
-9.693484,8.73877,-4.861541,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_155731_cell_64_RCAN_BIX4-official.png
-15.145051,5.2164845,13.472398,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_155731_cell_71_RCAN_BIX4-official.png
-15.07137,6.7217817,13.115537,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_155731_cell_74_RCAN_BIX4-official.png
-21.828415,3.4859128,10.641185,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_155731_cell_75_RCAN_BIX4-official.png
-11.260386,1.794478,11.064886,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_12_RCAN_BIX4-official.png
-9.866872,-3.1173477,-5.5422254,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_18_RCAN_BIX4-official.png
-21.24994,5.906586,-8.677147,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_22_RCAN_BIX4-official.png
-10.878241,5.856605,11.8381815,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_24_RCAN_BIX4-official.png
-20.390892,4.149072,11.336991,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_30_RCAN_BIX4-official.png
-15.706118,6.9207783,11.634499,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_32_RCAN_BIX4-official.png
-15.842781,14.313439,5.764565,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_38_RCAN_BIX4-official.png
-7.154879,-2.97581,7.255207,parasitized,parasitized,D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_41_RCAN_BIX4-official.png
