图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-n预测正确,parasitized-预测置信度,uninfected-预测置信度
D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144104_cell_163_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9652396440505981,0.03476042300462723
D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144104_cell_166_RCAN_BIX4-official.png,0,parasitized,1,uninfected,0,parasitized,True,0.3835669457912445,0.6164330244064331
D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144104_cell_167_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.7806747555732727,0.2193252295255661
D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144104_cell_171_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.994082510471344,0.005917500238865614
D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144348_cell_139_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9972442388534546,0.0027557897847145796
D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144348_cell_141_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.738222062587738,0.26177793741226196
D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144348_cell_144_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9754244089126587,0.02457561530172825
D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_144823_cell_161_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9357695579528809,0.06423042714595795
D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_145609_cell_146_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.8552314639091492,0.14476849138736725
D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_150041_cell_147_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9797297716140747,0.020270196720957756
D:\dataset\sr\val\parasitized\C100P61ThinF_IMG_20150918_150041_cell_148_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.7869704961776733,0.21302956342697144
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_64_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9991455078125,0.0008544750744476914
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_68_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9992836117744446,0.0007163641275838017
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_76_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.8802174925804138,0.11978253722190857
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_78_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9699919819831848,0.030008040368556976
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_81_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9001564383506775,0.0998435690999031
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151006_cell_82_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.982537567615509,0.017462484538555145
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151149_cell_74_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.999526858329773,0.00047316690324805677
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151149_cell_79_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9882522225379944,0.011747727170586586
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151149_cell_83_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9867697954177856,0.01323024183511734
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_74_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9988561868667603,0.0011438281508162618
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_85_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.851908802986145,0.14809119701385498
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_86_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.99846351146698,0.0015365296276286244
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_94_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9980666041374207,0.001933372812345624
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_95_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.996482253074646,0.0035177457612007856
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151239_cell_99_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9814708828926086,0.018529068678617477
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_53_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9900279641151428,0.009972077794373035
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_57_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9544281959533691,0.04557179659605026
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_60_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9383252263069153,0.06167478859424591
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_65_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9122928977012634,0.08770715445280075
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_67_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9204277992248535,0.0795721784234047
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_68_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9963392019271851,0.0036608725786209106
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_73_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9962158799171448,0.0037841377779841423
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_74_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9923068881034851,0.007693178951740265
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151335_cell_78_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9027110934257507,0.09728890657424927
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151507_cell_51_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9939259886741638,0.006074043456465006
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151507_cell_53_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9407067894935608,0.0592932365834713
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151942_cell_59_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9898202419281006,0.0101797329261899
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151942_cell_60_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.7809675931930542,0.2190324068069458
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151942_cell_67_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9979251623153687,0.0020747899543493986
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151942_cell_72_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9573982954025269,0.04260166361927986
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151942_cell_76_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9726876616477966,0.027312342077493668
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151942_cell_77_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9984427094459534,0.001557359006255865
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_151942_cell_83_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.8094761967658997,0.1905238777399063
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_155731_cell_63_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9802641868591309,0.019735772162675858
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_155731_cell_64_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9998093247413635,0.0001907496916828677
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_155731_cell_71_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.99813312292099,0.0018668904667720199
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_155731_cell_74_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9984267950057983,0.0015731959138065577
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150918_155731_cell_75_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9994663596153259,0.0005336030153557658
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_12_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9963755011558533,0.0036244913935661316
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_18_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9401978850364685,0.05980217829346657
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_22_RCAN_BIX4-official.png,0,parasitized,1,uninfected,0,parasitized,True,0.4639577567577362,0.5360422134399414
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_24_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9052813649177551,0.09471864253282547
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_30_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.99826580286026,0.0017341815400868654
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_32_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9997956156730652,0.0002043597341980785
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_38_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9999082088470459,9.178806067211553e-05
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_41_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.8682761788368225,0.1317238211631775
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_165215_cell_7_RCAN_BIX4-official.png,0,parasitized,1,uninfected,0,parasitized,True,0.39126357436180115,0.6087363958358765
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170110_cell_16_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9994187355041504,0.0005813276511617005
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170110_cell_22_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9412539601325989,0.058745961636304855
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170110_cell_23_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9621679186820984,0.03783208504319191
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170110_cell_4_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9711761474609375,0.028823768720030785
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170246_cell_67_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9924404621124268,0.007559541147202253
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170246_cell_79_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9974783062934875,0.002521742135286331
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170246_cell_88_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9884101152420044,0.011589914560317993
D:\dataset\sr\val\parasitized\C101P62ThinF_IMG_20150923_170246_cell_90_RCAN_BIX4-official.png,0,parasitized,0,parasitized,1,uninfected,True,0.9728840589523315,0.027115944772958755
